bibnumber,name,gender,age,genderdiv,division,overallplace,pace,split5k,split10k,split20k,split25k,split30k,split35k,split40k,splithalf,officialtime,city,state,country,ctz
9617,"Eimicke, Torsten",M,47,7811,1447,10460,8.17,20.77,42.48,89.85,116.57,144.72,174.6,201.83,95.2,213.77,Rostock,,GER,
21779,"Fujimura, Satomi",F,49,2650,215,10461,8.17,25.37,50.63,100.9,125.83,151.43,176.72,202.07,106.32,213.77,Honolulu,HI,USA,
13131,"Bruner, Dan",M,51,7812,966,10462,8.17,24.8,49.6,99.8,124.8,150.47,175.97,201.38,105.48,213.77,Powell,OH,USA,
10222,"Delgado, Jose A",M,45,7813,1448,10463,8.17,22.87,45.7,92.38,116.77,142.62,170.53,199.57,97.57,213.77,Henderson,NV,USA,
10187,"Treadwell, Anne",F,46,2651,216,10464,8.17,22.65,45.47,92.85,117.45,143.58,170.9,200.92,98.15,213.78,Burlington,VT,USA,
17939,"Doerksen, Wayne",M,55,7814,367,10465,8.17,24.37,49.32,99.22,124.22,149.82,175.45,201.72,104.67,213.78,Fort Lauderdale,FL,USA,
20244,"Kluge, Trisha L",F,54,2652,82,10466,8.17,25.48,50.58,100.52,125.07,150.15,175.85,202.15,105.87,213.78,Eugene,OR,USA,
16420,"Mckilligan, Patrick L",M,61,7815,80,10467,8.17,23.93,48.3,97.55,122.65,148.63,175.5,201.48,102.77,213.78,Arlington,WA,USA,CAN
14922,"Whiting, Patti",F,44,2653,381,10468,8.17,24.12,48.42,97.85,122.65,148.8,175.7,201.83,103.22,213.78,San Diego,CA,USA,
5332,"Hooper, Nicholas",M,21,7816,3476,10469,8.17,22.42,45.22,91.9,115.58,141.18,168.67,200.2,96.97,213.78,Ottawa,ON,CAN,
7757,"Shewey, Scott",M,42,7817,1462,10470,8.17,22.75,44.45,89.33,113.82,139.77,169.4,200.53,94.37,213.78,Colorado Springs,CO,USA,
13038,"Attar, Sarah",F,21,2654,1952,10471,8.17,24.12,47.68,95.23,119.48,145.37,173.38,201.53,100.5,213.78,Escondido,CA,USA,
10647,"Claus, Sabrina",F,42,2655,382,10472,8.17,23.83,47.68,96.52,121.77,147.83,175.15,201.83,101.8,213.8,Frankfurt Am Main,,GER,
17683,"Zink, Jill N",F,34,2656,1953,10473,8.17,24.18,48.87,98.83,123.88,150.33,177.13,203.08,104.32,213.8,Greenville,NC,USA,
15032,"Defrancesco, Robert",M,58,7818,368,10474,8.17,24.17,48.7,98.3,123.52,149.67,176.53,202.77,103.73,213.8,Bonita Springs,FL,USA,
18190,"Leippert, Yvonne",F,46,2657,217,10475,8.17,23.48,47.42,96.63,121.95,148.28,175.83,202.53,101.93,213.8,Coram,NY,USA,
10713,"Carstens, Shane",M,47,7819,1449,10476,8.17,24.27,48.38,97.4,121.93,147.97,175.25,200.98,102.77,213.8,Sherwood Park,AB,CAN,
17513,"Pedraglio Armendariz, Vanna E.",F,35,2658,1954,10477,8.17,23.15,47.08,97.17,121.95,148.03,174.98,201.67,102.35,213.8,Lima,,PER,
18294,"Rosario, Christine",F,35,2659,1955,10478,8.17,25.17,50.02,99.32,124.02,149.4,175.92,202.27,104.68,213.82,Chicago,IL,USA,
9904,"Koepsell, Emily D.",F,27,2660,1956,10479,8.17,22.48,45.13,91.7,116.67,145.02,173.82,201.85,96.82,213.82,Cambridge,MA,USA,
15069,"Conover, Tonia",F,40,2661,383,10480,8.17,23.92,47.8,96.9,120.83,146.2,173.18,201.42,102.08,213.82,Haddon Township,NJ,USA,
13755,"Ovalle, Jose",M,55,7820,369,10481,8.17,23.27,46.5,94.75,119.53,145.9,173.95,201.47,99.97,213.82,Santiago,,CHI,
10838,"Olson, Craig",M,52,7821,967,10482,8.17,22.78,45.78,92.85,117.5,144.27,172.48,201.4,98.1,213.82,Hanscom Afb,MA,USA,
31572,"Knee, Kelly R.",F,34,2662,1957,10483,8.17,24.92,48.78,97.8,122.9,148.77,175.42,202.17,103.27,213.83,Providence,RI,USA,
4990,"Longolucco, Ron J.",M,43,7822,1463,10484,8.17,22.37,45.32,93.23,118.02,144.23,171.43,200.48,98.62,213.85,Charlestown,RI,USA,
14053,"Howe, Karen",F,37,2663,1958,10485,8.17,23.55,47.3,96.27,121.62,148.23,175.7,202.35,101.7,213.85,Rochester,NY,USA,
17452,"Young, Tricia",F,32,2664,1959,10486,8.17,24.83,49.58,99.58,124.83,150.88,177.13,202.6,105.13,213.85,North Salt Lake,UT,USA,
25891,"Pacheco, Reece",M,31,7823,3477,10487,8.17,23.85,48.37,97.63,122.28,148.02,174.15,201.35,102.88,213.87,New York,NY,USA,
19287,"Smith, Julie M",F,36,2665,1960,10488,8.17,25.02,49.35,97.23,122,148.08,174.38,202.18,102.47,213.87,Swedesboro,NJ,USA,
17413,"Patton, Megan M",F,27,2666,1961,10489,8.17,23.45,47.5,96.38,121.25,147.28,174.27,201.33,101.73,213.87,Massillon,OH,USA,
13603,"Ellett, Carlie",F,22,2667,1962,10490,8.17,24.17,48,95.9,122.68,148.43,174.92,202.23,101.2,213.87,Orem,UT,USA,
11602,"Gruber, Tyler C",M,45,7824,1450,10491,8.17,22.97,45.82,92,115.68,142.73,172.43,201.55,97.08,213.87,Marietta,GA,USA,
12913,"Harmon, Sara",F,31,2668,1963,10492,8.17,25.3,50.5,100.6,125.22,150.78,176.87,202.8,105.97,213.87,Kernersville,NC,USA,
17176,"Loach, Jill M.",F,49,2669,218,10493,8.17,23.88,48.05,96.55,121.25,147.6,174.97,202.03,101.93,213.87,Peachtree Corners,GA,USA,
18407,"Bedard, Lisa",F,37,2670,1964,10494,8.17,24.48,49.02,98.77,123.37,148.65,174.45,202.3,104.03,213.87,Kirkland,WA,USA,
5132,"Cary, Christopher A",M,37,7825,3478,10495,8.17,22.23,45.27,91.45,114.97,140.88,171.22,202.12,96.57,213.87,San Francisco,CA,USA,
18398,"Daniher, David",M,61,7826,81,10496,8.17,23.52,46.78,94.8,119.93,146.53,173.85,201.2,100.08,213.88,La Junta,CO,USA,
11163,"Pope, Carroll",M,59,7827,370,10497,8.17,23.92,48.12,97.7,122.48,148.55,174.85,202.08,103.07,213.88,San Marcos,CA,USA,
14661,"Sweny, Andrea",F,30,2671,1965,10498,8.17,25.05,50.32,101.33,126.68,152.35,178.52,203.23,106.93,213.9,Kitchener,ON,CAN,
5846,"Howard, Phil M.",M,52,7828,968,10499,8.17,23.88,47.77,97.65,123.03,148.88,175.63,202.3,103.17,213.9,Valencia,CA,USA,GBR
16904,"Schuman, Gregory",M,55,7829,371,10500,8.17,24.02,49.1,99.15,124.02,150.12,176.02,202.22,104.58,213.9,Belton,MO,USA,
17358,"Redlinger, Jillian M.",F,24,2672,1966,10501,8.17,23.53,47.87,96.6,121.12,147.02,174.13,202.03,101.92,213.9,Louisville,KY,USA,
9205,"Brode, Gary",M,44,7830,1464,10502,8.17,21.87,44.87,91.33,114.88,141.05,170.23,200.35,96.38,213.9,New York,NY,USA,
20283,"Skokos, Callie",F,46,2673,219,10503,8.17,24.35,48.55,98.53,123.28,149.3,176.93,202.93,103.87,213.92,Littleton,CO,USA,
11114,"Fryan, Brigitte R.",F,25,2674,1967,10504,8.17,24.82,49,98.98,124,150.05,176.47,202.93,104.47,213.92,Massillon,OH,USA,
17052,"Nielson, Heather T",F,48,2675,220,10505,8.17,25.15,50.42,99.98,124.33,149.57,175.83,202.23,105.23,213.92,Holladay,UT,USA,
10283,"Dawson, Deborah J.",F,41,2676,384,10506,8.17,22.87,45.58,92.45,117.38,142.92,173.85,202.45,97.72,213.92,Fort Mill,SC,USA,
10551,"Shearer, Andy",M,53,7831,969,10507,8.17,22.57,45.48,92.25,116.57,142.95,171.85,201.32,97.42,213.92,Mableton,GA,USA,
18016,"Piropato, Marissa A.",F,39,2677,1968,10508,8.17,23.15,47.13,96.42,121.4,147.78,175.02,202.02,101.78,213.92,Washington,DC,USA,
14603,"Kolodenker, Liana",F,27,2678,1969,10509,8.17,23.07,46.12,94.28,119.22,146.43,174.67,201.82,99.4,213.93,Malden,MA,USA,
9177,"Cicero, Emily A",F,30,2679,1970,10510,8.17,22.28,44.67,91.95,117,144.63,173.22,202.68,97.28,213.93,Defiance,OH,USA,
11463,"Beran, Kyle A",M,47,7832,1451,10511,8.17,23.97,47.67,94.65,118.4,143.43,170.43,199.6,99.83,213.93,Midland,TX,USA,
19408,"Loeb, Vernon F",M,58,7833,372,10512,8.17,24.72,49.17,98.17,122.58,147.83,174.08,201.28,103.48,213.93,Wynnewood,PA,USA,
6195,"Sorensen, Jorn P.",M,53,7834,970,10513,8.17,22.25,44.53,89.97,113.48,141.07,169.6,201.42,95.03,213.93,Kastrup,,DEN,
31733,"Fried, Jordan W.",M,23,7835,3479,10514,8.17,23.57,46.95,93.83,117.38,142.17,171.23,202.6,98.88,213.93,Chappaqua,NY,USA,
28881,"Bieshaar, Ryan D.",M,27,7836,3480,10515,8.17,26.5,49.45,95.75,118.23,144.6,173.18,200.25,100.5,213.93,Arlington,VA,USA,
14063,"Stringer, Anne-Sophie",F,44,2680,385,10516,8.17,24.67,49.38,99.28,124.42,150.28,176.58,202.55,104.75,213.95,Bloomington,IN,USA,FRA
15983,"Moreno, Chrissie",F,30,2681,1971,10517,8.17,23.2,46.9,95.35,120.15,147.57,176.18,203.1,100.58,213.95,San Francisco,CA,USA,
17965,"Gullo, Beth A",F,37,2682,1972,10518,8.17,24.9,49.65,98.8,123.67,149.6,176.45,202.35,104.18,213.95,Lancaster,NY,USA,
16642,"Makarewich, Corinne",F,30,2683,1973,10519,8.17,24.38,49.03,98.2,123.2,149.33,175.8,202.75,103.52,213.95,Grottoes,VA,USA,
14813,"Valenti, Jane N",F,30,2684,1974,10520,8.17,24.83,49.08,97.93,122.67,148.17,174.9,201.93,103.32,213.95,West Springfield,MA,USA,
12742,"Tarkany, Deidre",F,42,2685,386,10521,8.17,24.28,48.45,97.25,121.97,148.3,175.33,201.83,102.6,213.95,Lake Tapps,WA,USA,
18783,"Gutierrez, Naomi G",F,38,2686,1975,10522,8.17,23.7,46.95,95.07,119.93,146.27,173.85,201.5,100.45,213.95,Pacifica,CA,USA,
17188,"Green, Theresa Marie",F,42,2687,387,10523,8.17,24.87,49.27,98.03,122.72,148.78,176.33,202.6,103.43,213.95,Manakin Sabot,VA,USA,
12196,"Igarashi, Sack",M,49,7837,1452,10524,8.17,23.63,47.33,96.12,121.15,147.35,174.77,201.92,101.5,213.97,Las Vegas,NV,USA,
11047,"Hires, Renee S",F,32,2688,1976,10525,8.17,24.38,48.28,95.7,120.08,146.27,173.72,201.3,100.92,213.97,Portland,OR,USA,
17053,"Di Iulio, Tara F",F,41,2689,388,10526,8.17,23.5,47,96.45,122.67,148.8,175.5,202.13,101.95,213.97,Boston,MA,USA,
12044,"Schniers, Angie",F,42,2690,389,10527,8.17,23.87,47.25,95.9,120.37,146.77,173.82,202.17,101.28,213.97,Tulsa,OK,USA,
11633,"Jauregui, Skylar M.",F,18,2691,1977,10528,8.17,22.93,45.62,94.28,120.07,146.55,174.53,202.2,99.77,213.97,Vacaville,CA,USA,
31939,"Kearns, Evan D.",M,33,7838,3481,10529,8.17,25.42,50.38,101.08,126.67,151.8,177.3,203,106.62,213.97,Newton,MA,USA,
18003,"Villemaire, Mario",M,57,7839,373,10530,8.17,24.98,50.1,100.62,125.93,151.25,177,202.37,106.2,213.97,Ottawa,ON,CAN,
18403,"Meltzer, Susan M",F,50,2692,83,10531,8.17,23.55,47.52,96.18,121.05,147.12,174.95,202.18,101.6,213.97,Melbourne,FL,USA,
13613,"White, Richard",M,54,7840,971,10532,8.17,24.05,48.03,100.3,123.37,147.73,173.83,200.95,105.23,213.98,New York,NY,USA,
13627,"Sheridan, Sean M",M,50,7841,972,10533,8.17,24.25,48.67,97.82,122.75,148.75,175.1,201.37,103.32,213.98,Chicago,IL,USA,
28400,"Aquino, Timmy",M,46,7842,1453,10534,8.17,24.03,47.9,96.22,120.6,146.4,173.85,201.1,101.45,213.98,Monmouth Junction,NJ,USA,
13702,"Douglas, Isaiah J",M,52,7843,973,10535,8.17,25.5,50.2,99.27,123.2,148.45,173.65,201.88,104.6,213.98,Savannah,GA,USA,
13398,"Stephens, Bethany J.",F,27,2693,1978,10536,8.17,25.73,50.63,100.68,126.03,151.9,178.05,203.4,106.25,213.98,Newmarket,ON,CAN,
17742,"Hagen, Julie",F,45,2694,221,10537,8.17,24.17,48.87,97.7,122.77,149.5,176.8,203.13,102.95,213.98,Dumont,CO,USA,
4185,"Suit, Dickson",M,47,7844,1454,10538,8.17,21.63,43.2,87.18,111.17,136.78,166.43,200.48,92.12,213.98,Avon,CT,USA,
13556,"Tuccillo, Peter",M,55,7845,374,10539,8.17,24.27,48.55,97.3,121.92,148.05,174.28,202.28,102.62,213.98,Culver City,CA,USA,
7515,"Clark, Michael J",M,40,7846,1465,10540,8.17,22.33,45.08,90.97,114.67,140.35,168.55,200.05,96,213.98,Stanley,NC,USA,
4143,"Stewart, David M",M,51,7847,974,10541,8.17,21.02,41.95,85.73,109.88,137.27,168.28,201.35,90.83,213.98,New York,NY,USA,
28468,"Rodriquenz, Sharon M.",F,41,2695,390,10542,8.17,25.15,49.7,98.82,123.2,149.08,175.7,202.48,104.18,214,Lunenburg,MA,USA,
29091,"Collier, Christopher R.",M,31,7848,3482,10543,8.17,23.88,46.72,94.88,118.92,144.63,170.77,202.05,100.35,214,Charlestown,MA,USA,
13659,"Kujawski, Robert J.",M,52,7849,975,10544,8.17,23.57,48.2,99.05,125.87,151.03,176.58,202.57,105.02,214,Cutchogue,NY,USA,
19216,"Petersen, David",M,55,7850,375,10545,8.17,25.02,49.65,99.18,124.12,149.45,175.42,201.93,104.62,214,Omaha,NE,USA,
16102,"Vihon, Jessica A",F,33,2696,1979,10546,8.17,24.88,49.58,98.32,123.1,148.68,175.35,201.97,103.7,214.02,Rome,GA,USA,
13492,"Nash, Brian C",M,54,7851,976,10547,8.17,24.5,49.05,98.53,123.52,149.5,175.48,202.15,103.95,214.02,Cincinnati,OH,USA,
35782,"Arone, Daniel A.",M,32,7852,3483,10548,8.17,24.3,48.87,99.63,125.43,151.42,177.25,202.83,105.17,214.02,Waltham,MA,USA,
9732,"Johnson, James P.",M,50,7853,977,10549,8.17,21.75,44.4,96.02,120.07,145.83,173.8,201.58,101.12,214.03,Folsom,CA,USA,
6043,"Shaikh, Hafiz",M,35,7854,3484,10550,8.17,22.77,45.73,92.98,117.4,143.82,171.95,200.78,98.1,214.03,Columbia,MD,USA,
15150,"Levy, Kate",F,30,2697,1980,10551,8.17,22.98,46.52,94.53,119.05,146.4,174.5,202.05,99.77,214.03,Plainfield,NH,USA,
15676,"Strout, Annie",F,27,2698,1981,10552,8.17,24.18,48.68,98.37,123.95,150.33,177.05,202.7,103.8,214.03,Winooski,VT,USA,
14645,"Dolezal, Shannon B.",F,32,2699,1982,10553,8.17,24.02,48.05,97.2,122.08,148,176.6,203.15,102.53,214.03,Athens,GA,USA,
9454,"Mah, Tessa S.",F,31,2700,1983,10554,8.17,23.05,47.25,96.58,122.03,148.62,176.83,203.1,101.87,214.03,Southington,CT,USA,
9424,"Riley, Joe",M,50,7855,978,10555,8.17,23.35,46.95,94.62,118.77,144.65,172.45,200.8,99.85,214.05,Princeton,NJ,USA,
16671,"Woo, Tom T.",M,55,7856,376,10556,8.17,22.98,46.63,96.53,121.93,148.92,176.85,203.27,101.9,214.05,Rochester,MN,USA,
17731,"Lawrence, Lisa",F,53,2701,84,10557,8.17,22.87,46.42,95.67,121.48,148.67,176.23,202.5,101,214.05,Cape Elizabeth,ME,USA,
15631,"Earhart, Elizabeth L",F,24,2702,1984,10558,8.17,24.98,50.32,100.28,125.55,151.73,178.25,203.65,105.8,214.05,Lincoln,NE,USA,
18291,"Macomber, Kenan K",F,36,2703,1985,10559,8.17,24.93,49.42,98.42,123.32,148.8,175.28,202.27,103.78,214.07,Portland,OR,USA,
8182,"Danielson, Lisa L.",F,41,2704,391,10560,8.17,22.65,45.82,94.12,118.98,144.73,172.22,200.63,99.32,214.07,Shrewsbury,MA,USA,
18821,"Garza, Sandra O.",F,45,2705,222,10561,8.17,24.67,49.45,99.95,125.17,150.9,177.15,202.78,105.45,214.07,"Monterrey, Nl",,MEX,
11085,"Uguen, Benedicte",F,39,2706,1986,10562,8.17,23.12,46.25,94.88,119.9,146.93,174.35,202.12,100.27,214.07,Briarcliff Manor,NY,USA,FRA
12052,"Williams, Margaret",F,47,2707,223,10563,8.17,24.45,48.53,97.78,122.85,148.08,175.17,202.02,103.2,214.07,Cordova,TN,USA,
17334,"Snyder, Brittani A",F,34,2708,1987,10564,8.17,24.55,49.45,99.98,124.32,149.78,177.32,203,105.23,214.07,Visalia,CA,USA,
9664,"Bildsoe, Timothy",M,56,7857,377,10565,8.17,22.78,45.73,93.6,118.43,145.17,172.95,201.87,98.87,214.07,Plymouth,MN,USA,
21628,"Stensland, Jamie K",F,48,2709,224,10566,8.17,25.22,49.68,100.42,125.78,151.9,178,203.27,105.93,214.08,Waverly,IA,USA,
9092,"Thomas, Matthew A",M,42,7858,1466,10567,8.17,23.55,47.23,95.1,120.13,145.82,172.58,201.9,100.82,214.08,Minocqua,WI,USA,
10269,"Lecuyer, Jacques J.",M,54,7859,979,10568,8.17,22.43,45.38,93.5,118.92,146.48,174.43,202.17,98.77,214.08,Washington,DC,USA,
10138,"Legault, Kenneth W",M,57,7860,378,10569,8.17,23.35,47.07,95.05,119.48,145.7,173.02,201.73,100.27,214.1,Greenwood,IN,USA,
17337,"Bower, Jayne L.",F,46,2710,225,10570,8.17,24.13,48.25,97.3,122.17,148.08,175.02,201.95,102.7,214.12,Avondale,PA,USA,
2221,"Dials, Joshua T.",M,32,7861,3485,10571,8.17,22.6,45.42,91.53,114.85,140.6,169.73,199.38,96.52,214.12,Indianapolis,IN,USA,
5474,"Dapore, Allan",M,23,7862,3486,10572,8.18,19.77,39.27,79.93,100.8,122.75,149.15,189.82,84.5,214.13,Charleston,SC,USA,
17335,"Matthes-Loy, Cindy",F,55,2711,21,10573,8.18,22.93,47.03,96.6,121.85,148.35,175.8,202.25,102,214.13,Ft. Myers,FL,USA,
9192,"Buzzell, Stephen",M,54,7863,980,10574,8.18,24.65,48.97,98.32,123.43,149.65,176.55,202.95,103.78,214.13,Peterborough,NH,USA,
15361,"Day, Carly A.",F,31,2712,1988,10575,8.18,23.73,47.4,95.23,119.62,145.23,172.02,202.5,100.48,214.13,Madison Heights,MI,USA,
19466,"Nelson, Jody K.",F,49,2713,226,10576,8.18,24.83,49.33,98.53,123.47,149.2,175.87,202.65,103.93,214.13,Eagan,MN,USA,
13282,"Stanley, Brian E",M,56,7864,379,10577,8.18,22.1,44.78,92.07,116.32,143.37,172.8,201.7,97.28,214.13,Kansas City,MO,USA,
13030,"Fabels, Hendrik J.",M,50,7865,981,10578,8.18,23.35,47.1,95.2,119.88,146.47,174.53,202.23,100.52,214.15,Bussum,,NED,
14850,"Finn, Judith A",F,40,2714,392,10579,8.18,23.97,48.03,97.42,122.47,148.9,175.62,202.33,102.73,214.15,Halifax,NS,CAN,
28717,"Hanson, Keith P.",M,31,7866,3487,10580,8.18,26.65,50.93,98.48,122.52,147.6,174.4,202.43,103.62,214.15,Charlestown,MA,USA,
5610,"Galeev, Ildar",M,43,7867,1467,10581,8.18,25.25,49.75,99.65,124.67,150.23,176.62,202.47,105.58,214.17,Kazan,,RUS,
18361,"Herbach, Leanne D.",F,46,2715,227,10582,8.18,23.13,46.1,94.05,119.32,146.55,173.78,201.4,99.3,214.17,North Vancouver,BC,CAN,
18823,"Feron, David P",M,56,7868,380,10583,8.18,25.28,50.52,101.38,126.87,153.23,178.82,203.17,106.93,214.17,Roanoke,VA,USA,
18457,"Chen, Jung Wen",M,56,7869,381,10584,8.18,23.47,46.97,96.18,121.63,148.52,175.43,202.32,101.67,214.18,Nantou County,,TPE,
5466,"Klaitman, Jason",M,38,7870,3488,10585,8.18,23.57,47.1,95.07,119.1,146.3,175.03,202.42,100.37,214.18,Chapel Hill,NC,USA,
13262,"Yonce, Jb",M,67,7871,16,10586,8.18,24.17,48.08,96.8,121.68,147.77,174.35,201.55,102.18,214.18,Missoula,MT,USA,
13572,"Sinsky, Michael",M,55,7872,382,10587,8.18,23.93,47.97,96.75,121.7,147.97,175.55,202.77,102.07,214.2,Seattle,WA,USA,
18302,"Allister, Rosie",F,34,2716,1989,10588,8.18,23.33,47.92,98.8,124.02,150,176.62,202.77,104.35,214.2,Edinburgh,,GBR,
18326,"Fleming-Williams, Denise",F,52,2717,85,10589,8.18,24.48,48.72,98.83,124.38,150.83,177.38,202.95,104.28,214.2,Folsom,CA,USA,
14475,"Macpherson, Mary Jane",F,34,2718,1990,10590,8.18,24.02,48.12,97.45,122.68,149.37,176.32,202.53,102.93,214.2,Latham,NY,USA,
4362,"Price, Erik C.",M,30,7873,3489,10591,8.18,24.23,48.68,97.77,122.48,148.1,174.58,202.78,103.07,214.2,Oakton,VA,USA,
3192,"Scott, Jason D",M,28,7874,3490,10592,8.18,21.15,42.07,86.77,111.7,138.65,168.12,199.68,91.97,214.2,Green Bay,WI,USA,
14927,"Colestock, Regan",F,27,2719,1991,10593,8.18,24.37,48.37,97.18,124.4,149.58,175.7,202.12,102.53,214.2,Brooklyn,NY,USA,
10379,"Andrade, Gildardo",M,49,7875,1455,10594,8.18,22.93,46.08,92.88,116.45,142.1,169.93,200.37,97.9,214.2,Brooklyn,NY,USA,MEX
14095,"Mojkowski, Walter",M,53,7876,982,10595,8.18,24.78,49.25,98.18,122.55,147.7,174.3,201.67,103.55,214.2,Cranston,RI,USA,
10582,"Taylor, Scott",M,47,7877,1456,10596,8.18,22.43,45.13,91.92,115.88,142.33,169.48,199.7,97.03,214.2,Ozark,MO,USA,
10106,"Morehead, Robert W",M,48,7878,1457,10597,8.18,22.83,46.35,94.97,118.98,145.35,173.47,202.2,100.03,214.2,Anchorage,AK,USA,
13681,"Smith, David P",M,50,7879,983,10598,8.18,24.38,48.55,97.7,122.38,147.72,174.12,202.13,103.1,214.22,Glen Rock,PA,USA,
14854,"Andrew, Katie W.",F,25,2720,1992,10599,8.18,24.13,48.38,96.6,120.93,147.07,174.95,202.35,101.93,214.22,New York,NY,USA,
16940,"Panitz, Nora",F,26,2721,1993,10600,8.18,24.62,49.58,98.7,123.05,148.13,174.72,202.25,103.92,214.22,Portland,OR,USA,
7080,"Scoffin, Peter",M,38,7880,3491,10601,8.18,22.27,44.33,88.9,111.87,137.07,165.6,199.73,93.85,214.22,Aurora,CO,USA,
20734,"Kessler, Kim",F,46,2722,228,10602,8.18,25,49.85,99.33,123.97,149.28,175.8,202.42,104.7,214.22,Richfield,OH,USA,
17279,"Bay-Cheng, Sarah",F,40,2723,393,10603,8.18,25.38,50.48,100.8,126.33,151.53,177.35,203.13,106.33,214.23,Buffalo,NY,USA,
20549,"Delaney, Nancy",F,48,2724,229,10604,8.18,24.15,48.7,98.43,123.58,149.53,176.28,202.65,103.85,214.23,Lakeland,TN,USA,
8743,"Jensen, Troy J",M,51,7881,984,10605,8.18,23.22,46.42,93.42,117.55,142.87,170.87,200.73,98.58,214.25,Bluffdale,UT,USA,
10019,"Seidman, Joshua J.",M,45,7882,1458,10606,8.18,22.98,46.55,95.07,119.97,146.22,173.75,201.48,100.43,214.25,Bethesda,MD,USA,
17383,"Miller, Rachel B.",F,26,2725,1994,10607,8.18,24.05,48.03,97.38,122.52,149.23,176.6,202.95,102.78,214.27,Boston,MA,USA,
16776,"Kimura, Yukiko",F,39,2726,1995,10608,8.18,24.33,49.27,98.8,124.02,150.03,176.55,202.02,104.23,214.27,Broomfield,CO,USA,JPN
20400,"Langarica, Claudia",F,42,2727,394,10609,8.18,24.78,49.32,98.72,123.9,150,176.65,202.57,104.13,214.27,Skokie,IL,USA,
20091,"Randall, Myung",F,51,2728,86,10610,8.18,25.37,49.78,99.08,124.17,150.12,176.47,202.52,104.47,214.27,Kelowna,BC,CAN,
6943,"Bertrand, Kelly",M,44,7883,1468,10611,8.18,24.07,48.15,97.2,122.83,148.77,175.75,202.62,102.6,214.27,Guelph,ON,CAN,
18290,"Tulley, Kacey R.",F,38,2729,1996,10612,8.18,23.78,47.98,96.53,121.35,147.4,175.28,202.5,101.9,214.27,Brighton,MI,USA,
2525,"Ambrose, Caleb R.",M,29,7884,3492,10613,8.18,19.12,38.5,78.93,102.1,127.2,159.9,201.55,83.53,214.28,Wenatchee,WA,USA,
17085,"Pagac, Amy L",F,31,2730,1997,10614,8.18,25.02,50.08,99.98,124.75,150.03,176.32,202.48,105.42,214.28,Boardman,OH,USA,
22387,"Dicesare, Julie",F,46,2731,230,10615,8.18,25.53,50.92,101.52,126.67,152.77,178.78,203.52,107.03,214.28,Fremont,OH,USA,
10248,"Villanueva, Alan",M,45,7885,1459,10616,8.18,22.23,44.78,91.05,115.87,145.88,175.57,202.57,96.23,214.28,"Monterrey, Nl",,MEX,
3702,"Frick, Kevin S",M,25,7886,3493,10617,8.18,24.22,48.75,97.25,121.6,146.95,173.23,201.5,102.52,214.3,Springfield,OH,USA,
9794,"Holgate, Steven",M,62,7887,82,10618,8.18,21.77,45.83,92.38,116.47,142.95,171.45,200.35,97.5,214.3,Lethbridge,AB,CAN,
12539,"Tsoucas, Pantelis",M,53,7888,985,10619,8.18,23.43,47.02,94.77,119.33,145.92,173.97,201.82,100.03,214.3,Mount Kisco,NY,USA,
22726,"Mahoney, Lucia J.",F,49,2732,231,10620,8.18,25.42,50.27,101,126.07,151.85,177.57,202.97,106.52,214.3,Toronto,ON,CAN,
21276,"Reed, Pam",F,53,2733,87,10621,8.18,25.23,50.48,101.73,126.48,152.22,178.58,203.43,107.13,214.3,Jackson,WY,USA,
8335,"Bennett, Paxton",M,40,7889,1469,10622,8.18,24.35,49.07,96.27,119.7,143.32,170.2,201.33,101.48,214.3,West Des Moines,IA,USA,
4005,"Pinkerton, Daniel R",M,38,7890,3494,10623,8.18,21.47,43.03,87.23,110.35,135.5,166.17,200.68,92.15,214.3,Urbandale,IA,USA,
4438,"Cheng, Jonathan",M,30,7891,3495,10624,8.18,22.02,44.33,89.48,112.52,137.1,163.28,192.73,94.48,214.3,Baltimore,MD,USA,
16618,"Sargent, Heidi J.",F,44,2734,395,10625,8.18,24.12,48.07,97.95,123.25,149.4,176.37,203.02,103.3,214.3,Halifax,MA,USA,
14559,"Meyer, Kellie J.",F,26,2735,1998,10626,8.18,24.48,48.8,97.58,122.08,147.87,174.7,201.88,102.95,214.32,Wahpeton,ND,USA,
16882,"Ostos, Pia",F,28,2736,1999,10627,8.18,25.25,49.73,99.35,124.15,150.18,176.7,202.95,104.65,214.32,Boston,MA,USA,MEX
10972,"McKenzie, Gabrielle",F,23,2737,2000,10628,8.18,22.45,44.58,92.02,117.38,146.1,174.45,202.23,97.17,214.32,Bethesda,MD,USA,
3779,"Webb, Jim",M,34,7892,3496,10629,8.18,24.8,50.75,100.98,125.82,151.13,176.63,202.42,106.4,214.32,Chicago,IL,USA,
6602,"Burgett, Jason K",M,40,7893,1470,10630,8.18,21.65,43.23,89.7,114.52,142.67,172.55,202.05,94.73,214.33,Wooster,OH,USA,
10104,"Jensen, Bjarne",M,55,7894,383,10631,8.18,22.43,45.02,92.08,116.85,143.8,172.15,201.85,97.27,214.33,Hals,,DEN,
19078,"Larsen, Ron W.",M,60,7895,83,10632,8.18,25.08,49.33,97.42,121.68,147.52,174.63,201.95,102.6,214.33,Apple Valley,MN,USA,
25569,"Bruce, William J.",M,39,7896,3497,10633,8.18,23.75,47.12,94.02,117.57,144.13,173.45,201.83,99.2,214.33,Newton,MA,USA,NZL
